"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.000020","127.0.0.1","127.0.0.1","TCP","74","4444  >  46968 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=2552433044 TSecr=2552433044 WS=128"
"5","2.087943","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=1 Ack=2 Win=65536 Len=0 TSval=2552435132 TSecr=2552435132"
"6","13.674575","127.0.0.1","127.0.0.1","TCP","154","4444  >  46968 [PSH, ACK] Seq=1 Ack=2 Win=65536 Len=88 TSval=2552446719 TSecr=2552435132"
"9","26.908002","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=89 Ack=93 Win=65536 Len=0 TSval=2552459952 TSecr=2552459952"
"10","39.658084","127.0.0.1","127.0.0.1","TCP","67","4444  >  46968 [PSH, ACK] Seq=89 Ack=93 Win=65536 Len=1 TSval=2552472702 TSecr=2552459952"
"13","51.825035","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=90 Ack=184 Win=65536 Len=0 TSval=2552484869 TSecr=2552484869"
"14","67.595628","127.0.0.1","127.0.0.1","TCP","67","4444  >  46968 [PSH, ACK] Seq=90 Ack=184 Win=65536 Len=1 TSval=2552500640 TSecr=2552484869"
"17","84.318656","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=91 Ack=275 Win=65536 Len=0 TSval=2552517363 TSecr=2552517363"
"18","95.126437","127.0.0.1","127.0.0.1","TCP","67","4444  >  46968 [PSH, ACK] Seq=91 Ack=275 Win=65536 Len=1 TSval=2552528171 TSecr=2552517363"
"21","106.347306","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=92 Ack=366 Win=65536 Len=0 TSval=2552539392 TSecr=2552539392"
"22","117.628119","127.0.0.1","127.0.0.1","TCP","67","4444  >  46968 [PSH, ACK] Seq=92 Ack=366 Win=65536 Len=1 TSval=2552550673 TSecr=2552539392"
"25","120.042540","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [ACK] Seq=93 Ack=367 Win=65536 Len=0 TSval=2552553087 TSecr=2552553044"
"26","122.058373","127.0.0.1","127.0.0.1","TCP","66","4444  >  46968 [FIN, ACK] Seq=93 Ack=367 Win=65536 Len=0 TSval=2552555103 TSecr=2552553044"
